orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,power_consumption_kw,remaining_battery_percent,mission_risk,health_score,memory_utilization_percent
SSO,522.33,97.04,69.94,1.47,0.36,3,1.61,38.98,328.82,182.98,512.0,17.18,23.7,3.62,2.56,62.52,2.2,35.98,MEDIUM,67.13,35.73828125
SSO,598.41,98.53,58.25,4.32,0.08,4,4.28,37.74,135.56,22.72,512.0,83.7,57.27,7.42,5.04,62.05,4.79,0.0,HIGH,21.88,4.4375
SSO,656.16,98.19,72.61,4.42,0.85,3,1.65,41.95,142.91,112.19,512.0,46.24,34.45,2.29,2.28,69.28,2.02,95.65,LOW,84.44,21.912109375
SSO,608.31,97.86,70.5,2.63,1.13,1,0.69,12.57,272.07,438.84,512.0,94.38,43.66,9.45,1.41,71.03,1.11,33.95,HIGH,19.2,85.7109375
MEO,4371.94,56.56,95.82,1.92,1.64,1,0.45,11.26,225.41,452.57,512.0,93.15,43.31,3.38,0.96,92.63,0.85,100.0,HIGH,19.45,88.392578125
SSO,539.76,98.3,31.92,3.71,0.59,3,3.51,19.34,409.54,358.03,512.0,85.51,62.89,2.36,4.31,35.72,4.08,13.88,HIGH,22.37,69.927734375
GEO,35786.0,1.44,31.75,3.76,0.67,2,2.18,6.51,315.36,274.16,512.0,60.75,32.55,6.09,3.03,28.94,2.73,0.0,HIGH,21.87,53.54687500000001
SSO,635.22,98.71,94.3,1.54,1.44,4,1.84,27.21,127.95,439.4,512.0,34.23,69.57,8.8,2.48,89.53,2.34,0.0,HIGH,15.46,85.8203125
SSO,700.26,97.44,48.73,0.9,0.05,5,4.25,46.87,228.77,276.84,512.0,17.85,23.55,1.51,4.82,45.1,4.47,15.67,HIGH,13.39,54.07031249999999
LEO,516.1,37.78,62.34,4.14,0.44,2,1.65,46.84,285.95,230.43,512.0,69.94,48.28,4.63,2.09,62.41,2.17,46.7,LOW,98.97,45.005859375
SSO,681.35,97.2,58.8,3.09,0.8,1,0.78,29.67,318.18,114.02,512.0,14.65,44.66,3.92,1.44,57.37,1.2,65.38,LOW,99.33,22.26953125
GEO,35786.0,0.51,90.99,1.38,1.55,5,4.38,12.64,218.51,88.34,512.0,89.69,36.17,6.66,4.51,94.17,4.66,0.0,HIGH,27.29,17.25390625
GEO,35786.0,3.36,47.0,3.4,0.33,5,5.54,20.27,264.49,126.52,512.0,84.4,71.12,8.58,6.0,40.02,6.05,0.0,HIGH,13.94,24.7109375
MEO,11329.22,48.42,71.17,0.91,1.42,5,2.99,41.64,102.06,133.31,512.0,37.23,42.4,2.04,3.48,65.89,3.57,34.73,MEDIUM,60.93,26.037109375
LEO,313.45,61.3,80.93,3.39,1.71,5,3.23,54.35,302.31,85.45,512.0,16.5,61.51,9.56,3.31,75.87,3.63,0.0,HIGH,32.62,16.689453125
GEO,35786.0,3.11,42.55,0.64,0.22,3,1.72,12.8,391.48,193.9,512.0,23.07,78.46,1.58,1.86,35.91,2.18,27.76,HIGH,27.05,37.87109375
GEO,35786.0,4.77,90.25,3.53,1.54,1,1.19,42.65,185.84,56.56,512.0,40.46,27.17,2.95,1.3,85.14,1.48,100.0,LOW,97.06,11.046875
LEO,880.13,60.33,96.41,0.88,1.21,2,2.3,41.97,371.09,40.01,512.0,77.52,21.6,4.71,2.81,91.68,2.85,19.86,HIGH,25.96,7.814453125
SSO,521.14,98.61,66.89,3.26,1.18,3,2.52,30.93,385.63,407.99,512.0,90.02,57.93,7.03,2.72,68.85,3.05,0.0,HIGH,18.96,79.685546875
SSO,509.7,98.86,71.43,4.29,0.61,1,0.78,51.6,180.22,196.69,512.0,75.08,22.49,4.28,1.25,64.61,1.37,84.83,MEDIUM,52.93,38.416015625
SSO,678.92,98.47,88.6,1.22,1.12,4,1.64,6.74,196.38,233.39,512.0,12.5,30.77,8.71,1.94,85.81,2.0,0.0,HIGH,37.55,45.583984375
GEO,35786.0,1.8,32.5,2.67,1.65,5,5.27,50.66,90.09,436.43,512.0,81.48,39.65,2.13,5.6,27.68,5.82,0.0,HIGH,32.15,85.240234375
MEO,19324.68,55.59,78.58,1.91,1.38,5,5.84,46.51,228.33,403.8,512.0,50.98,37.62,3.93,6.17,75.95,6.08,0.0,HIGH,32.49,78.8671875
LEO,373.33,49.44,76.78,2.83,0.12,2,1.67,56.65,434.46,398.17,512.0,84.41,56.41,8.03,2.14,80.59,2.06,3.06,HIGH,16.65,77.767578125
MEO,2323.37,59.33,94.82,4.19,1.47,5,5.63,5.73,62.36,379.36,512.0,63.02,27.59,8.94,6.22,98.29,6.04,0.0,HIGH,31.96,74.09375
GEO,35786.0,4.56,66.78,4.3,0.46,4,2.85,59.26,391.1,220.79,512.0,19.44,71.9,5.75,3.41,59.79,3.16,0.24,HIGH,26.44,43.123046875
SSO,507.76,97.18,85.64,3.92,1.57,5,5.18,37.27,353.62,132.87,512.0,67.39,44.25,8.28,5.53,77.67,5.59,0.0,HIGH,11.18,25.951171875
SSO,745.45,97.24,73.44,1.68,1.72,5,4.8,40.54,56.11,174.36,512.0,26.22,26.18,4.06,5.16,70.09,5.24,0.0,HIGH,41.32,34.0546875
GEO,35786.0,2.58,63.04,1.37,0.33,4,3.21,41.69,238.25,464.05,512.0,79.77,49.2,1.13,3.38,56.7,3.66,52.5,MEDIUM,57.65,90.634765625
SSO,658.73,98.38,39.53,2.65,0.32,5,3.21,43.95,414.11,20.6,512.0,15.8,64.29,3.0,3.08,33.49,3.47,3.58,HIGH,43.64,4.0234375
GEO,35786.0,4.84,56.18,3.39,0.75,2,2.11,42.46,296.98,86.28,512.0,72.37,32.05,6.85,2.71,54.06,2.43,0.0,HIGH,33.89,16.8515625
GEO,35786.0,4.52,53.32,2.64,0.72,5,3.51,56.88,365.21,427.94,512.0,24.01,23.64,3.76,3.83,56.11,4.1,0.0,HIGH,30.54,83.58203125
LEO,356.87,88.05,40.53,4.49,0.02,2,1.58,44.94,401.7,23.83,512.0,30.18,47.55,3.3,2.12,42.82,1.91,53.37,LOW,79.31,4.654296875
GEO,35786.0,1.77,79.69,2.98,0.41,1,0.44,26.45,192.2,111.74,512.0,60.32,60.12,4.41,1.22,76.94,0.92,88.98,MEDIUM,70.36,21.82421875
SSO,628.65,98.18,58.48,1.71,0.23,5,2.93,49.63,189.05,34.94,512.0,57.32,47.88,8.67,3.5,54.61,3.48,0.0,HIGH,32.87,6.82421875
GEO,35786.0,1.91,97.01,0.97,0.73,4,2.79,32.36,119.14,416.78,512.0,51.64,55.89,3.11,2.69,91.78,3.08,46.37,MEDIUM,63.07,81.40234375
GEO,35786.0,2.01,38.79,2.61,1.11,4,3.46,56.11,236.16,478.81,512.0,62.06,37.34,6.51,3.82,33.89,4.04,0.0,HIGH,32.7,93.517578125
GEO,35786.0,3.55,76.62,1.07,1.35,4,3.41,25.85,162.86,36.06,512.0,49.35,51.53,4.69,4.37,69.07,4.01,0.0,HIGH,18.63,7.04296875
SSO,760.0,98.17,86.77,3.29,0.16,1,0.64,25.46,231.62,174.25,512.0,86.78,57.49,1.89,0.7,88.27,0.94,100.0,HIGH,20.39,34.033203125
LEO,939.71,57.11,97.19,2.56,1.47,4,2.96,23.68,229.25,178.26,512.0,16.85,27.18,1.16,3.17,90.59,3.53,100.0,LOW,84.24,34.81640625
LEO,957.42,77.8,99.42,2.08,0.79,2,1.23,9.31,332.49,289.61,512.0,87.7,21.96,2.82,1.77,91.83,1.69,93.4,HIGH,23.09,56.564453125
GEO,35786.0,2.61,70.34,2.23,1.2,1,1.03,23.9,440.58,162.35,512.0,51.75,49.1,4.44,1.61,74.74,1.37,57.55,LOW,91.86,31.708984375
GEO,35786.0,2.53,47.81,3.31,0.71,5,3.81,22.52,294.14,163.06,512.0,44.33,57.88,8.7,3.91,41.16,4.07,0.0,HIGH,30.94,31.84765625
SSO,773.78,97.05,34.37,1.93,0.5,1,0.86,35.23,443.86,328.65,512.0,83.79,60.36,1.16,1.39,38.34,1.07,49.53,MEDIUM,58.29,64.189453125
LEO,945.25,96.86,76.16,0.56,0.8,2,2.02,56.56,172.86,67.77,512.0,49.91,42.92,9.55,2.74,75.24,2.5,0.0,HIGH,17.19,13.236328125
LEO,473.88,70.77,82.69,1.57,0.51,5,5.05,16.15,196.08,325.39,512.0,78.7,79.04,7.34,5.43,82.91,5.54,0.0,HIGH,40.08,63.552734375
SSO,737.58,98.64,41.2,0.98,0.84,5,4.99,48.62,163.07,124.47,512.0,12.78,51.5,8.77,5.14,37.2,5.46,0.0,HIGH,30.83,24.310546875
GEO,35786.0,3.54,59.99,2.68,0.13,2,1.91,32.02,154.31,184.37,512.0,83.65,59.85,6.89,2.52,54.32,2.27,0.0,HIGH,29.94,36.009765625
SSO,649.64,98.62,55.11,0.76,0.79,2,1.99,25.5,415.62,478.01,512.0,38.9,41.99,4.17,1.98,47.39,2.19,4.81,HIGH,43.42,93.361328125
SSO,592.49,97.91,72.59,1.56,0.02,4,2.47,32.45,245.39,99.49,512.0,18.46,70.95,1.35,2.7,72.99,2.84,66.42,HIGH,41.66,19.431640625
SSO,738.37,98.89,89.61,2.07,0.96,2,1.68,59.06,181.2,134.12,512.0,93.9,78.27,5.68,2.09,82.39,2.1,36.82,HIGH,43.11,26.1953125
MEO,3253.72,59.16,98.45,2.23,0.75,5,4.73,15.0,438.04,243.63,512.0,51.63,47.71,5.06,4.68,94.41,5.0,0.0,HIGH,18.07,47.583984375
LEO,987.89,74.31,79.49,2.62,0.86,4,4.39,40.0,179.99,423.1,512.0,35.08,50.04,5.87,4.81,75.8,4.74,0.0,HIGH,26.88,82.63671875
LEO,821.64,89.17,92.47,2.41,0.26,5,2.01,27.03,356.61,124.67,512.0,45.23,21.25,9.0,2.43,95.58,2.61,0.0,HIGH,39.01,24.349609375
LEO,326.87,70.48,82.63,1.81,1.14,4,3.72,55.0,374.47,83.14,512.0,83.65,26.43,4.96,3.7,87.44,4.08,0.0,HIGH,35.11,16.23828125
MEO,19961.31,58.81,33.11,1.19,0.12,3,1.25,26.37,401.81,469.1,512.0,50.92,21.92,3.97,2.16,25.62,1.8,0.99,HIGH,42.85,91.62109375
GEO,35786.0,3.4,51.91,0.93,1.2,4,3.2,52.49,212.91,191.84,512.0,11.36,77.4,2.75,3.5,52.33,3.7,0.0,HIGH,38.52,37.46875
GEO,35786.0,1.63,58.37,2.11,1.54,5,5.39,13.74,192.08,210.07,512.0,75.5,72.68,3.81,5.97,52.19,5.77,0.0,HIGH,15.38,41.029296875
GEO,35786.0,2.87,36.1,3.6,0.25,2,0.86,47.75,297.6,438.08,512.0,26.6,61.27,4.86,1.27,35.77,1.31,37.99,MEDIUM,65.69,85.5625
SSO,592.47,98.83,41.14,3.08,0.39,1,0.98,20.33,176.63,30.84,512.0,65.73,38.86,2.53,1.4,36.32,1.49,53.53,LOW,83.61,6.0234375
LEO,664.7,75.12,53.46,1.9,0.55,2,2.12,20.41,233.81,315.56,512.0,60.67,25.68,5.39,2.41,57.01,2.62,0.0,HIGH,17.42,61.6328125
LEO,368.02,68.32,46.48,3.78,1.54,4,3.61,54.2,116.05,48.32,512.0,94.04,40.92,5.36,4.04,49.37,3.98,0.0,HIGH,18.85,9.4375
MEO,4969.78,56.75,59.79,3.41,1.71,1,1.01,24.64,377.64,212.09,512.0,17.18,35.98,3.29,1.43,61.91,1.52,68.19,LOW,99.58,41.423828125
LEO,811.32,63.1,92.71,1.45,1.77,4,2.59,54.6,239.29,108.02,512.0,76.14,77.36,9.65,3.03,92.95,2.89,0.0,HIGH,36.36,21.09765625
MEO,19413.01,47.37,55.67,0.79,1.53,3,2.26,41.92,340.23,21.01,512.0,39.82,58.24,8.43,2.39,55.37,2.76,0.0,HIGH,26.02,4.103515625
SSO,613.23,97.49,40.52,1.02,1.27,2,1.86,16.27,250.78,179.12,512.0,78.04,77.19,9.59,2.34,45.17,2.09,0.0,HIGH,34.03,34.984375
MEO,16006.02,56.62,78.71,2.2,1.75,5,5.46,46.14,280.37,225.23,512.0,16.86,43.35,6.81,5.94,83.3,5.68,0.0,HIGH,38.05,43.990234375
SSO,654.79,97.12,32.25,1.86,1.05,2,1.8,51.41,51.11,200.5,512.0,73.29,47.03,7.04,2.09,27.82,2.22,0.0,HIGH,26.83,39.16015625
SSO,619.11,97.89,91.78,1.19,0.18,5,4.21,40.57,357.89,356.12,512.0,48.84,57.93,6.08,4.69,96.34,4.48,0.0,HIGH,22.58,69.5546875
GEO,35786.0,4.36,56.58,1.56,1.76,4,3.0,30.61,63.92,73.6,512.0,25.61,44.03,9.98,3.61,56.79,3.35,0.0,HIGH,14.68,14.374999999999998
SSO,596.05,98.01,54.01,2.67,1.77,3,2.49,52.99,59.02,234.02,512.0,32.77,68.41,1.06,3.11,57.31,2.78,67.04,HIGH,43.33,45.70703125
GEO,35786.0,1.04,62.63,3.63,1.01,4,1.75,54.77,266.62,401.99,512.0,92.82,60.47,3.26,2.65,57.17,2.32,57.1,HIGH,33.35,78.513671875
LEO,940.94,43.74,31.52,2.92,0.1,4,3.98,46.18,101.48,315.95,512.0,57.57,63.46,6.85,4.38,33.0,4.38,0.0,HIGH,30.84,61.708984375
SSO,591.69,97.03,62.2,1.22,0.92,5,3.18,38.59,248.81,183.32,512.0,42.26,51.91,2.55,3.74,58.27,3.61,16.95,HIGH,14.03,35.8046875
LEO,923.63,83.84,97.02,4.43,0.82,2,1.69,28.48,239.28,464.6,512.0,79.79,66.72,3.16,2.69,94.79,2.29,100.0,HIGH,32.57,90.7421875
GEO,35786.0,1.19,47.77,3.31,0.97,4,2.96,48.17,288.01,235.18,512.0,23.82,32.63,9.33,3.54,51.58,3.46,0.0,HIGH,41.06,45.93359375
SSO,749.62,98.94,50.3,3.36,0.87,4,3.92,19.54,437.51,205.38,512.0,42.71,23.97,2.18,4.59,49.2,4.49,26.98,MEDIUM,62.31,40.11328125
LEO,989.23,64.19,65.27,4.09,0.09,5,4.74,20.78,389.43,122.57,512.0,14.27,76.76,9.65,5.53,60.43,5.2,0.0,HIGH,10.46,23.939453125
SSO,663.96,98.14,36.15,0.64,1.46,1,0.79,19.71,76.43,291.51,512.0,40.37,73.35,8.93,0.68,36.09,1.03,0.0,HIGH,36.98,56.935546875
MEO,13023.12,45.78,95.46,3.35,0.8,2,2.05,8.35,266.89,233.48,512.0,61.63,44.53,6.85,2.37,89.96,2.54,22.32,HIGH,35.92,45.6015625
LEO,581.94,63.07,96.33,2.8,1.24,2,1.44,27.25,230.35,342.6,512.0,63.93,77.57,6.3,2.13,95.19,1.88,53.08,HIGH,37.8,66.9140625
MEO,14817.64,50.31,33.25,3.23,1.37,3,2.44,42.91,397.75,448.12,512.0,57.83,78.54,1.72,2.68,38.07,3.04,37.94,HIGH,27.58,87.5234375
LEO,437.54,59.93,66.81,1.49,0.63,5,5.75,20.93,217.08,184.49,512.0,47.16,36.04,4.7,6.17,67.69,6.18,0.0,HIGH,29.47,36.033203125
SSO,656.81,98.81,81.31,2.18,0.66,1,1.05,26.91,91.9,20.58,512.0,20.9,59.49,5.35,1.01,83.27,1.35,60.46,MEDIUM,47.42,4.01953125
GEO,35786.0,4.92,50.1,1.73,1.53,2,0.85,15.8,186.54,366.07,512.0,54.94,74.05,4.63,0.84,49.06,1.2,34.87,HIGH,23.07,71.498046875
LEO,624.6,51.9,95.16,1.61,0.83,2,2.23,9.15,111.21,208.08,512.0,46.66,48.33,8.78,2.29,92.59,2.47,0.0,HIGH,18.71,40.640625
LEO,886.63,52.66,80.38,2.76,0.52,4,2.85,36.51,387.14,342.48,512.0,27.59,24.78,4.0,3.52,82.68,3.18,30.9,MEDIUM,64.03,66.890625
GEO,35786.0,3.46,74.88,1.03,1.52,4,2.56,55.15,101.64,79.43,512.0,94.59,40.62,9.78,3.07,71.41,2.83,0.0,HIGH,36.5,15.513671875000002
GEO,35786.0,4.68,74.29,0.94,1.26,2,2.37,11.64,262.06,294.69,512.0,17.83,48.54,9.26,2.82,67.9,2.63,0.0,HIGH,24.77,57.556640625
SSO,588.98,98.28,83.56,1.54,1.29,5,2.56,10.38,309.96,365.6,512.0,86.54,36.37,9.06,3.21,80.63,2.96,0.0,HIGH,20.41,71.40625
MEO,18624.4,49.39,96.33,2.17,0.63,2,1.45,42.38,283.54,126.04,512.0,40.57,48.04,3.95,2.17,92.84,2.04,69.84,LOW,88.42,24.6171875
LEO,551.22,51.32,64.17,2.75,0.86,2,1.29,49.18,104.3,166.49,512.0,22.24,50.71,7.42,2.19,67.05,1.87,6.77,HIGH,11.23,32.517578125
MEO,11897.7,51.26,91.83,3.93,0.36,2,0.99,52.69,181.4,279.82,512.0,41.23,30.16,7.13,1.89,95.99,1.56,66.75,LOW,98.25,54.65234375
LEO,973.26,71.5,56.56,3.79,1.31,3,3.43,32.95,410.84,59.71,512.0,87.28,20.19,3.46,3.98,58.86,3.79,16.89,HIGH,27.67,11.662109375
MEO,12210.66,50.03,95.45,2.46,1.53,5,2.11,54.99,189.41,450.86,512.0,54.53,37.67,5.13,2.71,100.0,2.7,34.96,MEDIUM,64.93,88.05859375
SSO,750.51,97.39,71.53,2.65,1.49,3,3.44,42.63,278.66,274.69,512.0,77.14,49.59,6.95,3.96,70.62,3.9,0.0,HIGH,11.18,53.650390625
GEO,35786.0,2.77,77.75,1.77,0.22,3,2.51,25.12,236.84,417.2,512.0,33.49,63.44,3.64,2.7,75.33,2.78,33.3,MEDIUM,47.51,81.484375
GEO,35786.0,2.94,43.57,0.7,1.06,5,3.22,46.09,106.2,87.74,512.0,71.53,60.63,3.66,3.49,44.32,3.48,0.0,HIGH,36.25,17.13671875
MEO,9039.56,59.91,32.87,1.79,0.91,5,2.96,51.31,392.58,148.39,512.0,89.63,32.22,8.58,3.56,37.58,3.22,0.0,HIGH,34.87,28.982421874999996
GEO,35786.0,1.53,98.31,1.37,1.31,5,5.26,57.98,354.33,169.76,512.0,44.26,61.29,3.48,5.3,90.35,5.5,0.0,HIGH,29.78,33.15625
SSO,620.25,98.28,77.55,1.18,1.35,3,2.77,14.87,76.04,40.94,512.0,55.42,37.29,7.73,3.57,81.08,3.21,0.0,HIGH,42.41,7.99609375
MEO,4243.45,54.75,72.02,4.48,0.21,5,3.29,42.75,396.12,130.79,512.0,54.54,21.45,3.08,4.02,69.03,3.76,50.43,LOW,83.34,25.544921875
LEO,421.38,50.32,69.02,2.11,0.98,4,4.47,25.97,371.19,373.31,512.0,34.94,25.91,4.47,4.64,63.19,4.73,0.0,HIGH,16.82,72.912109375
SSO,764.64,98.96,88.65,1.37,1.09,5,5.94,22.94,349.76,312.83,512.0,55.66,36.46,6.67,6.39,85.18,6.21,0.0,HIGH,42.88,61.099609375
SSO,664.75,97.74,41.69,4.16,0.17,4,2.44,30.59,302.69,106.86,512.0,23.72,50.74,4.87,2.71,34.1,3.02,0.0,HIGH,28.58,20.87109375
GEO,35786.0,2.64,70.33,1.12,1.45,3,2.61,23.45,60.28,88.51,512.0,31.41,21.44,6.76,2.76,64.21,2.92,0.0,HIGH,37.15,17.287109375
MEO,6151.34,57.05,89.01,2.8,1.45,4,2.21,23.94,313.44,314.56,512.0,86.13,51.74,8.75,2.44,85.68,2.49,0.0,HIGH,16.35,61.4375
LEO,695.26,89.64,44.04,3.47,1.07,2,1.31,43.83,199.48,106.78,512.0,45.22,47.45,7.55,1.38,36.65,1.63,5.82,HIGH,39.5,20.85546875
MEO,16361.84,56.14,66.39,3.69,0.88,3,1.82,52.28,168.24,305.63,512.0,42.02,47.91,2.55,2.63,62.55,2.3,72.41,LOW,97.37,59.693359375
GEO,35786.0,0.8,30.99,2.88,0.96,1,0.49,55.12,226.6,60.62,512.0,90.87,58.16,8.03,0.75,25.09,0.78,25.03,HIGH,13.77,11.83984375
LEO,325.26,85.39,35.82,2.47,1.53,4,4.37,39.82,185.74,259.59,512.0,61.74,46.22,6.29,4.56,32.69,4.81,0.0,HIGH,29.88,50.70117187499999
SSO,758.6,97.94,52.12,4.12,1.3,4,3.78,57.67,319.28,130.54,512.0,46.79,26.97,3.42,4.49,48.97,4.28,6.43,HIGH,25.05,25.49609375
SSO,799.04,97.15,42.66,1.71,0.5,2,1.43,42.85,62.98,13.31,512.0,22.91,79.75,6.98,2.23,43.16,1.91,0.0,HIGH,36.67,2.599609375
MEO,19613.52,58.61,65.8,1.49,1.42,4,2.11,45.41,336.49,385.1,512.0,12.08,58.72,4.59,2.76,62.88,2.44,11.03,HIGH,28.79,75.21484375
MEO,11159.74,47.15,74.44,3.55,0.82,5,5.32,28.66,200.62,122.58,512.0,35.43,27.68,2.15,5.64,75.55,5.72,37.15,MEDIUM,61.97,23.94140625
MEO,16264.25,54.84,47.04,1.95,0.82,1,0.89,38.56,238.18,228.98,512.0,28.38,78.04,8.46,1.22,41.24,1.26,1.21,HIGH,11.68,44.72265625
LEO,791.31,73.54,55.43,2.85,0.97,1,0.84,9.08,183.82,115.08,512.0,24.01,74.33,4.4,1.32,57.85,1.39,49.91,HIGH,13.13,22.4765625
LEO,870.96,77.08,63.94,1.83,1.7,4,2.47,32.21,134.34,190.88,512.0,28.69,73.1,6.47,2.61,61.11,2.68,0.0,HIGH,32.94,37.28125
GEO,35786.0,4.12,69.37,2.93,1.05,3,1.96,9.83,164.55,394.8,512.0,34.1,45.1,3.4,2.75,73.7,2.56,48.1,LOW,78.06,77.109375
GEO,35786.0,4.93,69.34,1.39,1.19,4,4.78,34.85,269.98,23.19,512.0,10.94,66.14,7.59,4.99,71.09,5.12,0.0,HIGH,21.53,4.529296875
LEO,538.13,55.93,93.14,3.89,1.17,3,2.36,5.41,163.53,377.63,512.0,72.77,76.15,1.9,3.19,97.67,2.88,100.0,HIGH,22.05,73.755859375
MEO,4703.77,51.68,51.24,3.13,0.12,4,1.73,48.34,243.41,131.69,512.0,21.7,62.19,5.56,2.5,43.33,2.14,11.54,HIGH,42.85,25.720703125
MEO,7643.32,59.74,66.7,3.3,0.36,5,3.41,7.43,407.49,180.59,512.0,31.2,35.66,6.39,3.88,62.23,3.79,0.0,HIGH,30.14,35.271484375
SSO,672.3,97.88,76.98,1.67,1.76,1,0.44,51.84,127.19,88.5,512.0,45.19,71.57,7.48,0.9,79.22,0.72,62.13,HIGH,43.76,17.28515625
SSO,757.98,97.03,50.63,2.9,1.26,4,4.48,34.19,52.45,145.9,512.0,83.51,72.5,5.49,4.96,42.86,4.87,0.0,HIGH,21.12,28.49609375
LEO,486.05,70.16,96.59,3.56,0.48,2,2.23,41.29,78.05,63.17,512.0,17.32,48.6,6.17,2.69,97.66,2.44,41.49,MEDIUM,66.12,12.337890625
GEO,35786.0,1.97,41.15,1.59,1.07,5,5.41,56.1,216.22,419.62,512.0,10.25,23.3,4.18,5.71,34.85,5.65,0.0,HIGH,38.0,81.95703125
LEO,356.0,96.87,76.1,1.33,0.96,1,0.7,56.98,169.54,372.09,512.0,27.45,23.35,5.69,1.29,79.22,0.92,58.07,LOW,98.76,72.673828125
LEO,947.68,85.68,79.56,3.24,1.17,2,1.64,55.85,371.36,161.48,512.0,36.94,56.7,8.08,1.96,75.44,2.23,1.19,HIGH,39.24,31.539062499999996
GEO,35786.0,4.42,35.94,3.88,1.55,4,1.73,7.81,63.04,452.52,512.0,51.53,37.64,1.81,2.12,39.22,1.99,59.09,LOW,76.11,88.3828125
MEO,16208.93,58.53,30.38,2.34,1.26,2,2.03,21.5,156.15,112.24,512.0,23.27,32.82,7.38,2.43,29.12,2.5,0.0,HIGH,24.67,21.921875
LEO,323.65,35.94,32.37,1.23,1.52,4,4.17,31.73,118.02,40.19,512.0,11.74,42.29,6.79,4.06,27.57,4.38,0.0,HIGH,28.32,7.849609375
GEO,35786.0,2.01,42.68,1.76,1.27,4,2.86,47.63,69.76,455.9,512.0,28.45,78.41,2.33,3.03,38.74,3.25,14.51,HIGH,18.08,89.04296875
GEO,35786.0,2.69,90.11,0.95,0.99,5,4.92,43.05,301.13,350.97,512.0,59.45,36.52,8.21,5.13,86.57,5.22,0.0,HIGH,18.94,68.548828125
LEO,827.45,44.68,97.73,3.37,0.56,2,1.49,21.31,359.48,196.01,512.0,75.96,73.2,7.7,1.59,92.55,1.85,45.55,HIGH,11.69,38.283203125
GEO,35786.0,3.61,60.02,0.8,0.81,5,2.11,15.41,292.65,407.37,512.0,69.19,32.65,7.3,2.0,54.1,2.33,0.0,HIGH,41.48,79.564453125
MEO,9320.48,56.24,51.51,4.47,0.39,4,2.2,32.43,216.17,208.34,512.0,26.24,34.52,4.73,2.69,55.23,2.76,20.31,HIGH,23.09,40.69140625
MEO,17997.41,56.59,67.55,4.12,0.68,1,0.82,20.15,373.36,205.32,512.0,85.12,62.42,3.99,1.31,69.6,1.21,85.71,HIGH,28.65,40.1015625
LEO,757.53,30.46,51.13,2.27,1.14,4,1.79,28.58,277.17,311.55,512.0,62.09,74.33,8.81,2.25,43.99,2.19,0.0,HIGH,39.87,60.849609375
LEO,586.76,61.09,30.2,0.7,1.14,2,1.49,32.91,83.83,231.62,512.0,27.47,29.93,5.69,1.64,27.0,1.92,0.0,HIGH,13.42,45.23828125
LEO,930.11,66.59,34.15,1.59,0.04,3,1.43,5.13,272.51,223.19,512.0,16.93,23.85,6.1,1.64,38.05,2.02,0.0,HIGH,28.98,43.591796875
LEO,712.43,47.97,70.17,0.78,1.77,3,1.68,38.02,95.46,166.86,512.0,39.67,53.15,6.97,1.67,68.54,2.01,0.0,HIGH,40.74,32.58984375
MEO,3568.33,48.76,61.55,2.88,1.14,5,2.14,21.34,306.13,309.46,512.0,36.44,48.52,4.08,2.7,57.99,2.69,24.62,HIGH,10.01,60.44140624999999
MEO,7617.69,52.45,89.92,2.22,1.37,2,1.37,14.66,170.7,138.52,512.0,93.03,30.17,4.21,2.09,91.74,1.91,64.31,HIGH,19.75,27.054687500000004
LEO,419.11,66.68,85.52,2.72,0.65,3,2.63,52.25,376.44,426.39,512.0,55.34,50.28,1.05,3.2,85.88,3.06,97.3,MEDIUM,62.31,83.279296875
SSO,798.28,98.11,53.68,0.94,1.61,2,1.56,14.74,133.09,293.24,512.0,75.09,32.67,1.32,2.26,50.78,2.12,46.77,MEDIUM,68.34,57.2734375
SSO,729.66,98.66,76.24,3.3,0.08,5,4.21,58.92,146.65,416.93,512.0,50.6,72.09,3.09,4.86,68.3,4.47,26.07,HIGH,11.74,81.431640625
SSO,606.38,97.33,86.82,3.09,1.34,5,2.73,50.56,71.53,323.79,512.0,94.7,62.93,1.23,3.21,80.66,3.14,98.83,HIGH,32.99,63.24023437500001
LEO,937.43,76.71,39.63,3.29,0.14,3,3.28,49.64,84.38,85.02,512.0,45.26,24.32,5.74,3.62,37.57,3.85,0.0,HIGH,15.59,16.60546875
SSO,668.64,97.44,39.65,1.93,1.06,3,2.61,34.03,208.36,57.98,512.0,47.02,22.71,6.5,2.7,42.59,2.96,0.0,HIGH,22.13,11.32421875
MEO,11589.88,49.85,62.95,2.89,1.13,1,0.59,6.97,284.93,109.36,512.0,87.89,62.9,8.93,1.16,58.7,0.9,45.41,HIGH,11.49,21.359375
MEO,11591.84,50.58,38.07,0.51,1.26,5,4.4,37.43,230.86,342.64,512.0,16.95,20.51,6.01,4.47,32.09,4.79,0.0,HIGH,29.0,66.921875
GEO,35786.0,2.34,91.53,2.76,1.39,5,5.97,15.97,348.98,326.44,512.0,45.04,48.71,6.29,6.58,94.39,6.27,0.0,HIGH,26.71,63.7578125
GEO,35786.0,3.3,77.34,1.85,1.16,1,0.69,26.56,168.99,454.89,512.0,55.77,20.46,8.48,1.15,78.09,1.25,30.4,MEDIUM,74.05,88.845703125
