orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,power_consumption_kw,remaining_battery_percent,mission_risk,health_score
MEO,16221.1,54.63,65.76,3.56,1.1,5,4.48,52.39,325.3,54.35,512.0,40.17,43.32,8.1,4.55,60.78,4.93,0.0,HIGH,10.44
MEO,16674.88,55.42,37.73,2.79,0.25,3,2.82,47.7,158.3,434.66,512.0,87.6,50.66,1.38,3.63,30.37,3.37,41.09,HIGH,39.17
GEO,35786.0,4.03,38.59,0.96,0.4,2,1.08,29.94,148.2,117.01,512.0,23.21,29.77,7.73,1.91,34.68,1.64,0.0,HIGH,17.98
SSO,641.96,97.6,63.95,2.46,0.82,4,2.76,11.44,332.2,273.05,512.0,81.42,66.47,4.22,2.75,56.52,3.06,9.56,HIGH,19.55
GEO,35786.0,1.84,94.94,4.05,0.52,3,1.28,27.6,130.68,422.0,512.0,50.95,67.23,2.5,1.73,96.61,1.86,100.0,HIGH,23.81
GEO,35786.0,1.71,88.67,1.6,1.61,3,1.53,7.22,263.1,390.76,512.0,15.54,23.94,7.41,1.94,83.9,1.84,19.02,HIGH,24.17
MEO,18468.3,46.24,38.72,2.4,0.78,2,2.18,27.41,82.49,448.22,512.0,42.87,31.88,1.12,2.1,42.26,2.46,49.58,LOW,98.55
GEO,35786.0,4.63,40.04,3.47,1.66,4,3.61,37.6,184.67,366.67,512.0,47.32,71.2,9.99,3.6,38.1,3.99,0.0,HIGH,14.16
SSO,667.2,98.74,40.66,1.26,1.44,1,0.95,12.8,284.46,311.66,512.0,36.13,73.97,4.96,1.5,37.81,1.37,11.63,HIGH,32.55
GEO,35786.0,1.89,40.11,2.08,0.53,1,0.91,19.23,72.12,469.58,512.0,58.71,54.39,5.69,1.34,37.07,1.16,22.29,HIGH,13.89
MEO,6091.62,53.44,80.18,2.16,1.0,4,3.58,16.39,324.04,193.19,512.0,77.84,60.37,9.6,3.86,78.3,4.02,0.0,HIGH,14.98
SSO,666.93,97.84,89.34,3.54,1.1,1,0.61,40.03,387.29,151.58,512.0,92.75,29.73,4.08,1.1,89.93,0.82,100.0,HIGH,30.79
SSO,638.0,98.44,84.56,4.35,1.17,1,0.99,30.94,95.34,460.79,512.0,32.52,75.64,8.35,1.02,87.41,1.36,63.1,HIGH,15.79
LEO,366.96,71.84,51.97,0.57,0.35,2,1.1,57.4,208.42,353.0,512.0,81.01,47.19,7.09,1.56,49.51,1.64,0.0,HIGH,25.16
SSO,784.65,98.68,77.55,2.55,0.79,3,2.95,45.18,244.62,389.1,512.0,55.22,27.28,9.65,3.3,74.17,3.34,0.0,HIGH,37.12
LEO,307.02,38.09,85.83,2.79,1.08,3,3.37,57.27,298.28,390.9,512.0,31.5,25.39,6.36,3.97,84.36,3.7,0.0,HIGH,26.41
MEO,14463.76,58.86,78.29,3.73,0.34,3,2.77,39.76,422.85,88.74,512.0,34.23,68.83,8.18,3.15,74.72,3.13,0.0,HIGH,35.94
LEO,822.91,76.33,33.06,2.31,0.38,4,4.72,46.53,182.95,142.1,512.0,86.71,22.95,7.76,5.25,37.64,5.14,0.0,HIGH,26.12
MEO,8205.76,47.86,84.6,3.58,0.94,4,3.87,16.26,222.63,168.03,512.0,86.29,76.2,8.45,4.62,84.31,4.43,0.0,HIGH,14.71
SSO,540.46,98.34,44.51,4.16,0.06,2,1.44,25.13,265.17,143.0,512.0,23.85,22.29,7.18,1.86,41.17,1.76,12.42,HIGH,42.52
SSO,705.87,98.2,44.05,1.78,1.51,1,0.57,9.41,366.18,17.73,512.0,33.88,72.74,4.12,0.5,42.75,0.8,43.97,HIGH,18.04
LEO,317.83,71.75,46.37,0.67,0.48,2,1.79,57.25,114.44,166.58,512.0,15.52,65.11,2.43,1.71,42.62,2.01,22.55,HIGH,32.34
LEO,369.88,44.45,85.07,3.03,0.04,1,0.72,7.08,332.19,124.8,512.0,58.88,57.89,2.54,1.17,84.53,1.07,100.0,MEDIUM,50.14
LEO,737.75,59.87,67.64,4.38,0.32,4,4.18,28.79,359.22,452.81,512.0,36.51,44.51,7.29,4.74,66.31,4.4,0.0,HIGH,28.69
MEO,12635.09,53.71,79.23,2.8,0.43,3,3.16,17.66,129.96,463.67,512.0,36.29,66.5,3.97,3.31,72.0,3.65,18.71,HIGH,11.24
LEO,941.0,87.99,49.71,0.78,1.36,4,2.72,38.36,136.92,208.8,512.0,15.57,25.38,1.9,3.31,53.14,3.19,19.6,HIGH,17.51
MEO,16396.97,48.95,88.47,2.21,0.25,5,5.82,23.8,135.05,339.72,512.0,32.92,74.97,2.17,6.72,86.82,6.33,25.59,HIGH,11.45
SSO,722.74,98.26,57.29,4.15,0.77,1,0.92,26.2,372.45,465.09,512.0,31.26,46.72,9.13,0.92,55.82,1.18,37.07,MEDIUM,57.45
GEO,35786.0,1.55,89.18,1.75,0.19,2,1.59,19.11,134.91,124.61,512.0,18.12,71.61,2.59,1.82,91.7,1.98,76.84,HIGH,43.22
MEO,9048.38,59.65,45.18,2.52,0.53,3,2.72,7.24,327.82,227.61,512.0,44.01,39.89,3.3,3.11,45.25,3.23,6.19,HIGH,39.12
LEO,310.21,59.69,30.3,2.95,0.24,1,1.18,49.27,385.09,461.09,512.0,44.38,53.5,5.53,1.86,26.32,1.64,6.68,HIGH,33.85
SSO,794.81,98.29,46.44,3.83,0.98,3,2.75,23.94,441.05,220.39,512.0,68.48,27.01,4.09,3.5,49.91,3.27,5.5,HIGH,13.87
LEO,543.8,39.19,71.28,4.17,0.38,4,3.72,59.04,441.27,193.73,512.0,74.83,50.15,9.21,4.32,73.04,4.16,0.0,HIGH,38.22
GEO,35786.0,3.7,88.27,3.88,1.52,3,3.44,17.47,147.38,408.99,512.0,64.42,65.28,6.69,4.08,84.55,3.84,0.0,HIGH,25.35
SSO,608.46,98.66,55.12,3.17,1.48,5,3.71,37.93,183.29,397.76,512.0,80.91,45.41,9.15,4.14,56.92,4.28,0.0,HIGH,44.38
LEO,638.14,44.54,74.01,3.68,0.48,2,1.22,46.1,67.12,453.64,512.0,48.29,76.49,1.24,1.74,71.42,1.74,100.0,HIGH,29.48
LEO,921.86,90.18,65.08,0.64,1.57,3,3.05,25.84,382.31,156.95,512.0,78.33,33.99,5.88,3.64,61.16,3.59,0.0,HIGH,35.8
MEO,13541.98,50.95,63.35,2.36,0.65,4,4.01,8.62,78.03,457.91,512.0,39.92,40.06,5.3,4.33,66.85,4.46,0.0,HIGH,44.87
MEO,7757.79,50.19,87.39,3.42,0.73,1,0.63,45.94,200.82,242.96,512.0,36.52,73.29,2.49,1.09,81.9,1.06,100.0,HIGH,42.35
GEO,35786.0,1.68,79.28,2.96,0.56,2,1.2,37.86,123.17,24.36,512.0,30.91,58.67,9.57,1.64,74.13,1.51,20.85,HIGH,37.75
LEO,560.13,46.41,94.07,1.61,1.55,5,4.22,5.93,300.42,398.41,512.0,25.5,38.38,6.07,4.8,90.64,4.48,0.0,HIGH,35.76
MEO,14095.01,54.94,71.11,3.88,0.34,4,1.76,56.47,220.46,377.72,512.0,39.96,46.53,7.26,1.75,68.36,2.08,19.55,HIGH,41.96
SSO,559.41,98.06,71.7,1.46,0.46,5,2.58,43.05,327.52,217.91,512.0,19.07,52.81,3.08,3.24,70.78,2.87,31.75,MEDIUM,56.52
SSO,541.37,97.9,60.04,1.05,1.15,1,0.45,28.99,358.1,224.88,512.0,42.5,38.12,5.18,0.79,53.6,0.87,43.46,MEDIUM,46.77
LEO,357.02,54.41,55.73,4.11,1.13,2,1.77,56.83,355.99,387.32,512.0,46.5,28.39,6.57,2.46,53.73,2.15,13.09,HIGH,32.11
LEO,484.4,72.97,44.67,3.81,1.65,3,3.38,9.7,306.83,199.25,512.0,47.15,39.31,9.23,3.76,40.36,3.75,0.0,HIGH,17.41
MEO,10823.59,47.31,77.95,2.23,0.47,4,1.8,27.49,210.62,137.86,512.0,16.87,22.99,6.17,2.1,71.65,2.18,17.23,HIGH,30.79
LEO,327.96,87.27,58.03,1.4,1.74,4,4.02,47.74,88.63,212.69,512.0,19.15,50.2,2.09,4.37,58.94,4.6,12.32,HIGH,34.0
GEO,35786.0,0.69,87.09,4.0,0.46,5,4.42,16.62,397.23,456.53,512.0,63.71,40.03,8.23,4.33,88.73,4.67,0.0,HIGH,26.49
GEO,35786.0,0.09,48.41,0.66,0.12,4,3.3,13.66,106.21,13.44,512.0,40.5,32.2,9.9,3.54,48.49,3.52,0.0,HIGH,31.47
SSO,789.57,98.91,68.5,2.42,1.05,4,3.59,15.68,197.89,249.77,512.0,53.87,71.52,9.95,4.19,72.95,4.1,0.0,HIGH,17.42
SSO,593.88,97.79,89.82,1.31,0.01,1,0.81,44.11,245.85,42.57,512.0,33.76,30.34,8.39,1.26,86.07,1.27,36.03,MEDIUM,52.4
GEO,35786.0,4.57,77.19,2.45,0.1,4,4.22,41.08,253.54,403.08,512.0,78.73,21.87,1.45,4.69,82.05,4.72,62.27,MEDIUM,45.26
SSO,591.13,97.4,78.39,2.9,1.35,3,1.7,59.95,73.45,393.15,512.0,79.64,21.46,5.91,1.83,73.33,2.17,29.71,MEDIUM,60.97
GEO,35786.0,3.38,56.8,2.56,0.17,5,2.78,20.21,359.31,53.88,512.0,50.85,36.78,8.31,3.12,56.18,3.28,0.0,HIGH,12.81
SSO,560.98,97.54,53.92,1.65,0.15,4,2.89,58.52,269.37,72.68,512.0,67.73,58.95,6.57,3.47,52.08,3.45,0.0,HIGH,28.66
MEO,7158.39,59.21,86.51,2.8,0.57,4,4.01,31.37,210.75,33.91,512.0,75.77,55.94,4.15,4.27,89.95,4.57,0.0,HIGH,23.98
LEO,998.12,75.57,52.12,4.47,1.63,1,0.78,28.62,157.69,283.77,512.0,22.81,74.75,4.63,1.52,54.73,1.16,70.94,HIGH,34.96
GEO,35786.0,1.15,83.89,0.92,0.85,5,3.83,12.26,314.43,245.92,512.0,68.73,60.74,1.78,4.4,88.48,4.26,45.56,MEDIUM,49.73
SSO,731.7,97.11,89.78,4.44,0.44,5,3.58,52.64,399.34,421.17,512.0,24.22,48.14,5.1,4.37,91.91,4.05,8.82,HIGH,33.32
GEO,35786.0,1.28,53.46,3.48,0.31,2,1.23,10.06,104.84,23.57,512.0,37.82,79.45,7.07,1.4,57.17,1.6,21.62,HIGH,23.25
LEO,761.63,36.58,55.9,1.75,0.12,3,2.41,27.15,271.04,325.05,512.0,34.75,32.94,4.79,2.92,60.61,2.61,0.0,HIGH,25.45
GEO,35786.0,3.64,89.87,2.09,0.47,2,1.48,41.44,265.26,79.42,512.0,22.67,30.07,4.04,1.52,85.81,1.84,66.58,LOW,86.56
GEO,35786.0,0.78,80.76,3.11,1.23,3,3.39,45.86,398.75,345.9,512.0,85.96,51.1,5.64,3.85,82.49,3.92,0.0,HIGH,10.38
MEO,10630.42,50.65,68.53,2.69,0.94,3,2.8,16.92,394.31,384.3,512.0,65.87,21.53,4.65,3.0,72.52,3.15,5.67,HIGH,23.31
MEO,18163.58,53.59,64.95,2.58,1.53,4,4.03,57.11,418.19,257.38,512.0,48.12,42.47,3.17,4.6,65.07,4.54,2.13,HIGH,23.13
GEO,35786.0,2.71,68.64,1.06,0.54,3,1.93,25.93,316.23,11.14,512.0,60.77,76.58,6.5,2.69,65.82,2.34,0.0,HIGH,36.63
MEO,5335.02,57.22,48.96,0.93,0.4,3,2.97,32.44,136.55,286.24,512.0,12.05,43.55,5.69,3.16,43.31,3.37,0.0,HIGH,13.51
MEO,18176.25,48.7,42.12,0.79,0.07,5,4.53,18.23,438.95,57.69,512.0,30.64,68.11,1.33,5.19,35.35,4.87,9.54,HIGH,42.1
MEO,9467.71,53.33,54.91,3.6,0.03,2,1.25,53.82,79.42,337.0,512.0,14.91,63.07,7.8,1.57,48.94,1.68,12.9,HIGH,15.02
SSO,531.98,98.19,47.66,0.99,0.24,5,2.91,31.31,395.2,54.2,512.0,12.61,24.17,7.13,3.26,46.61,3.16,0.0,HIGH,44.92
MEO,6234.01,45.18,90.58,1.3,1.53,5,4.47,25.02,119.42,300.44,512.0,93.23,20.53,7.04,5.13,92.78,4.96,0.0,HIGH,17.69
SSO,734.6,97.12,82.97,0.96,0.72,4,2.2,33.14,155.85,169.14,512.0,64.92,60.05,1.12,3.09,85.6,2.74,74.52,MEDIUM,45.0
GEO,35786.0,1.73,45.0,4.01,0.09,2,2.06,47.72,143.14,348.92,512.0,55.28,52.23,2.45,2.15,39.78,2.39,55.07,MEDIUM,47.14
LEO,443.68,37.71,97.51,2.61,1.13,5,3.71,34.93,344.52,145.93,512.0,72.82,51.98,1.55,4.23,100.0,3.92,89.25,MEDIUM,64.94
SSO,795.56,98.64,53.16,2.13,0.55,2,1.93,53.18,210.58,335.52,512.0,21.87,78.32,5.73,2.03,49.45,2.43,0.0,HIGH,31.63
SSO,568.67,97.23,34.74,3.85,0.51,5,4.0,33.77,138.55,106.76,512.0,20.61,35.71,9.46,4.48,36.97,4.22,0.0,HIGH,29.35
LEO,451.45,31.78,88.57,1.49,0.14,1,0.45,59.39,65.16,315.2,512.0,44.19,48.01,9.78,1.37,82.76,0.98,43.97,MEDIUM,52.39
LEO,621.1,97.54,63.41,4.0,0.55,3,1.48,27.75,301.53,470.29,512.0,54.63,70.34,8.43,2.03,56.76,2.06,0.0,HIGH,27.47
GEO,35786.0,2.07,61.49,4.03,0.32,5,4.57,12.66,66.62,91.05,512.0,16.24,33.17,1.18,5.34,62.7,5.01,71.35,LOW,97.69
LEO,951.04,75.41,95.2,2.04,0.98,4,4.24,52.12,175.63,88.85,512.0,67.35,45.16,9.66,4.63,93.96,4.61,0.0,HIGH,22.07
SSO,527.98,97.32,48.28,2.87,0.57,5,3.28,13.43,146.72,162.45,512.0,90.6,63.75,2.07,3.52,41.69,3.72,32.69,HIGH,32.69
GEO,35786.0,3.1,46.65,3.53,0.53,1,0.68,28.63,225.48,471.78,512.0,76.58,24.68,6.52,1.5,39.89,1.2,37.94,MEDIUM,55.16
MEO,5617.95,58.34,56.07,1.34,0.3,5,5.07,48.03,265.75,439.84,512.0,57.68,79.56,1.24,5.81,60.77,5.43,28.28,HIGH,25.94
SSO,664.67,97.53,54.06,2.25,1.48,4,1.67,30.16,322.76,414.62,512.0,20.13,73.04,6.91,1.66,48.54,1.98,0.0,HIGH,30.82
LEO,489.41,68.74,53.39,0.98,0.53,4,2.54,32.96,171.55,348.03,512.0,83.19,22.79,3.47,2.71,50.73,2.89,0.0,HIGH,44.45
LEO,968.14,91.41,72.58,1.16,1.21,3,1.78,24.94,313.08,243.65,512.0,69.22,23.34,8.53,2.12,74.81,2.17,0.0,HIGH,42.56
LEO,816.23,89.44,89.44,3.12,1.35,1,0.6,10.04,207.46,218.31,512.0,10.03,20.17,6.09,0.77,82.55,0.84,93.64,LOW,96.87
MEO,4831.62,45.13,44.44,2.72,0.22,3,1.8,44.13,402.1,458.78,512.0,43.76,23.58,7.23,2.34,37.98,2.07,0.0,HIGH,10.2
SSO,594.34,98.51,74.23,0.66,1.07,4,2.16,32.62,278.34,447.52,512.0,39.01,62.15,4.23,2.72,77.35,2.63,9.84,HIGH,37.65
LEO,965.29,74.88,32.47,4.49,0.24,2,1.62,47.54,287.33,56.88,512.0,45.56,72.13,3.16,2.0,25.08,2.07,43.91,HIGH,31.76
SSO,710.0,97.4,90.46,3.84,0.5,3,2.55,44.06,437.18,18.67,512.0,42.48,58.5,9.64,2.63,94.38,2.77,0.0,HIGH,11.83
GEO,35786.0,4.12,69.37,2.93,1.05,3,1.96,9.83,164.55,394.8,512.0,34.1,45.1,3.4,2.75,73.7,2.56,48.1,LOW,78.06
GEO,35786.0,2.33,72.74,4.38,1.71,5,5.6,17.56,265.1,405.91,512.0,86.85,28.82,7.06,6.02,72.27,6.08,0.0,HIGH,15.59
MEO,18257.68,54.29,37.33,2.34,1.39,2,2.34,44.95,265.67,119.21,512.0,93.32,29.01,2.2,2.91,30.14,2.6,28.1,HIGH,25.48
SSO,752.52,98.53,79.04,1.12,0.33,2,1.93,36.89,273.0,280.67,512.0,49.92,54.0,3.43,2.04,75.81,2.43,38.21,MEDIUM,51.49
MEO,8801.64,47.95,72.29,3.72,0.6,3,2.96,15.5,367.21,441.12,512.0,43.94,66.65,6.04,3.29,72.36,3.17,0.0,HIGH,15.76
LEO,429.92,73.53,97.86,1.83,0.33,4,4.64,8.59,349.33,416.83,512.0,26.53,64.81,1.86,4.69,98.16,4.86,61.04,MEDIUM,70.21
SSO,683.49,97.92,93.86,2.97,1.18,1,1.13,26.99,317.62,23.95,512.0,46.08,53.32,9.33,1.26,94.33,1.37,46.32,MEDIUM,63.84
SSO,500.17,98.52,69.74,2.82,0.7,1,0.43,57.66,382.78,316.6,512.0,69.55,55.21,2.46,0.86,66.91,1.0,87.47,MEDIUM,50.82
LEO,821.19,68.53,31.44,3.46,1.03,1,1.13,32.23,51.64,457.2,512.0,15.02,50.33,8.69,1.86,31.42,1.47,0.0,HIGH,41.53
LEO,884.0,66.43,92.11,3.32,1.49,2,2.13,9.34,307.06,289.65,512.0,85.33,65.58,8.89,2.34,91.42,2.53,0.0,HIGH,23.69
SSO,645.97,98.27,92.11,2.38,0.14,1,0.76,34.57,370.4,402.87,512.0,10.69,33.17,9.87,1.43,93.23,1.14,47.66,LOW,92.22
MEO,12789.32,46.33,58.45,0.87,1.23,4,2.96,54.58,206.59,392.07,512.0,58.22,27.74,6.68,3.39,52.46,3.21,0.0,HIGH,13.33
LEO,827.45,44.68,97.73,3.37,0.56,2,1.49,21.31,359.48,196.01,512.0,75.96,73.2,7.7,1.59,92.55,1.85,45.55,HIGH,11.69
SSO,584.32,97.44,80.39,4.41,1.48,2,2.14,28.71,218.12,203.48,512.0,16.0,75.26,6.25,2.93,76.45,2.64,26.19,HIGH,39.95
GEO,35786.0,2.07,76.51,2.17,0.74,5,2.39,42.18,56.23,351.87,512.0,83.59,56.29,3.35,2.94,78.82,2.98,37.48,MEDIUM,55.14
LEO,538.86,92.84,69.83,1.5,1.33,3,3.45,39.46,410.83,167.75,512.0,28.09,69.6,3.77,3.78,68.85,3.7,0.0,HIGH,38.72
SSO,737.07,98.84,66.2,3.49,0.64,5,4.99,34.37,312.61,22.53,512.0,88.1,65.01,1.1,5.88,60.9,5.5,68.66,HIGH,43.61
LEO,676.91,91.27,43.02,1.67,1.23,3,3.48,46.51,259.76,94.13,512.0,29.91,32.7,3.34,3.88,44.86,3.8,0.0,HIGH,39.17
SSO,595.77,98.2,93.79,1.96,0.15,4,2.63,40.97,252.83,112.41,512.0,55.93,24.63,7.04,3.11,94.23,3.18,0.0,HIGH,16.01
SSO,610.05,97.53,77.55,1.13,1.32,4,3.86,14.19,206.86,439.79,512.0,20.6,46.88,3.74,4.68,71.72,4.35,0.0,HIGH,38.25
MEO,5117.29,56.07,54.64,1.56,1.62,1,0.56,25.5,360.86,297.53,512.0,36.53,72.7,1.93,0.86,59.0,0.88,62.32,HIGH,19.91
SSO,609.22,97.63,67.73,4.5,0.47,1,0.77,7.09,69.68,354.63,512.0,29.85,27.8,8.33,1.12,63.21,1.29,51.73,LOW,94.15
SSO,784.4,98.37,31.72,0.63,0.75,5,3.32,41.17,321.84,187.72,512.0,42.61,48.04,3.26,3.34,36.45,3.69,0.0,HIGH,40.34
GEO,35786.0,1.02,32.83,4.33,1.03,5,2.26,39.21,331.13,459.15,512.0,79.56,66.89,8.77,2.47,27.67,2.5,0.0,HIGH,35.11
LEO,606.72,83.41,47.9,2.28,0.7,5,5.51,26.58,274.98,11.63,512.0,78.84,49.97,5.36,6.04,47.88,5.96,0.0,HIGH,18.43
GEO,35786.0,1.6,63.3,4.16,1.57,4,1.85,9.87,286.62,400.04,512.0,69.75,59.2,1.1,2.25,55.4,2.09,98.26,MEDIUM,61.62
GEO,35786.0,1.83,70.43,4.49,1.64,3,1.86,18.77,131.87,428.73,512.0,82.5,46.78,4.82,2.31,70.35,2.31,51.88,MEDIUM,72.44
GEO,35786.0,3.25,65.89,2.59,1.38,2,1.95,21.6,444.01,252.94,512.0,92.87,20.24,9.44,2.34,68.9,2.35,0.0,HIGH,26.3
SSO,669.23,97.36,88.65,1.28,1.02,4,2.28,14.02,434.04,120.66,512.0,36.87,24.99,1.46,2.93,92.73,2.66,78.82,LOW,83.11
LEO,337.54,96.36,49.64,1.71,0.73,4,2.92,48.22,261.39,240.48,512.0,57.41,43.39,2.75,3.04,47.52,3.28,11.54,HIGH,25.6
SSO,748.09,97.64,86.17,2.77,0.19,4,4.65,30.79,431.46,71.02,512.0,43.86,57.05,4.59,4.7,85.85,4.86,0.0,HIGH,27.0
MEO,18920.97,51.52,88.13,2.0,1.71,3,2.45,13.03,269.79,291.79,512.0,53.97,50.4,2.7,3.22,86.92,2.98,59.85,MEDIUM,70.37
GEO,35786.0,3.5,77.15,2.55,0.34,1,0.67,46.54,172.09,432.66,512.0,12.33,35.37,5.45,1.15,78.08,1.19,65.47,LOW,83.53
GEO,35786.0,1.63,70.63,0.76,1.5,4,1.63,22.65,197.35,133.64,512.0,22.45,43.66,2.81,1.96,63.65,1.94,44.38,MEDIUM,49.96
SSO,506.16,97.03,59.3,1.97,0.82,4,4.62,32.69,418.96,206.92,512.0,85.37,70.42,6.68,4.66,61.15,5.04,0.0,HIGH,22.21
MEO,13407.01,56.32,32.02,2.92,0.16,2,1.55,22.61,161.49,300.09,512.0,19.1,77.04,5.72,2.03,33.46,2.12,0.0,HIGH,31.18
MEO,4053.04,50.52,99.67,3.96,1.73,4,2.48,11.7,127.81,68.31,512.0,35.56,71.33,7.31,2.87,100.0,2.81,13.47,HIGH,35.19
MEO,19052.51,48.05,73.48,4.0,0.48,3,2.62,40.26,142.14,143.46,512.0,11.87,66.04,2.73,2.7,71.03,2.85,70.84,HIGH,41.95
LEO,599.83,35.23,62.56,2.74,1.07,5,3.44,24.9,217.39,323.76,512.0,86.97,27.45,6.7,3.91,64.31,3.83,0.0,HIGH,34.03
SSO,767.7,97.78,69.75,2.93,0.92,4,2.95,13.94,350.56,385.13,512.0,91.14,53.52,2.6,2.93,62.42,3.19,50.93,HIGH,44.33
SSO,668.67,98.51,97.16,1.43,1.53,3,2.5,53.76,356.63,320.56,512.0,41.6,73.42,9.32,2.49,100.0,2.71,0.0,HIGH,32.95
MEO,15991.76,58.38,35.75,4.38,0.37,5,2.66,55.01,83.22,280.56,512.0,70.37,63.73,8.29,3.07,30.18,3.07,0.0,HIGH,40.2
MEO,5763.12,50.87,42.92,4.49,0.33,1,1.02,33.16,246.98,382.35,512.0,92.11,60.16,6.58,1.72,36.29,1.49,32.95,HIGH,44.08
GEO,35786.0,3.73,89.89,4.24,0.22,1,0.88,38.97,282.31,107.04,512.0,45.83,77.53,2.22,1.46,89.51,1.1,100.0,HIGH,41.17
LEO,491.43,97.39,42.42,2.72,1.16,2,1.38,58.22,58.99,357.31,512.0,34.95,77.65,3.94,1.9,42.39,1.9,26.4,HIGH,33.54
LEO,580.33,61.02,30.63,2.13,1.63,4,3.58,47.34,290.65,73.26,512.0,64.04,71.6,7.12,4.37,29.04,4.09,0.0,HIGH,29.64
MEO,7371.09,55.51,86.12,1.98,0.54,3,3.31,5.14,381.65,155.59,512.0,17.62,21.26,7.1,3.3,89.1,3.57,0.0,HIGH,18.49
MEO,12002.61,47.73,40.96,3.61,1.72,3,1.58,18.61,360.07,246.33,512.0,78.17,50.87,8.57,1.98,42.79,2.06,0.0,HIGH,20.57
GEO,35786.0,2.5,79.12,1.64,1.54,2,1.28,44.14,55.88,399.93,512.0,81.21,38.02,4.89,1.35,81.86,1.61,47.66,MEDIUM,65.74
GEO,35786.0,0.9,58.45,1.01,1.49,2,1.82,46.5,185.03,24.58,512.0,60.07,63.64,7.27,2.22,54.07,2.39,0.0,HIGH,14.0
SSO,768.78,98.53,98.91,4.34,0.82,5,3.83,10.52,443.69,168.2,512.0,26.4,44.85,6.57,4.44,96.65,4.14,0.0,HIGH,25.39
GEO,35786.0,4.28,94.08,3.35,1.29,2,1.08,7.75,341.86,297.4,512.0,34.71,48.04,6.9,1.58,94.02,1.3,75.97,LOW,81.27
MEO,13219.88,45.02,32.97,1.49,0.97,2,1.01,37.35,362.5,370.73,512.0,93.81,52.64,1.51,1.82,30.09,1.43,36.83,HIGH,12.96
LEO,903.09,62.41,54.68,3.1,0.31,1,0.75,25.76,230.26,247.73,512.0,78.98,38.17,9.59,1.5,52.76,1.24,14.53,HIGH,23.6
LEO,564.88,53.01,41.33,1.16,0.12,5,2.05,25.9,283.8,339.36,512.0,77.62,62.13,5.54,2.58,43.1,2.53,0.0,HIGH,11.84
MEO,16009.14,50.69,82.91,3.23,1.31,1,0.62,27.05,294.1,464.71,512.0,16.97,40.41,4.73,1.12,80.35,1.0,90.84,LOW,89.42
LEO,458.35,39.73,30.95,2.31,1.39,5,3.0,48.41,194.08,173.97,512.0,23.53,50.04,1.62,3.02,34.47,3.38,23.11,HIGH,10.03
GEO,35786.0,1.26,79.56,2.95,0.51,2,1.58,52.46,60.55,305.29,512.0,36.61,47.06,2.95,2.28,83.12,1.93,77.88,LOW,75.39
SSO,581.48,98.56,84.09,3.63,0.58,3,1.85,7.53,221.45,135.05,512.0,86.37,54.94,5.33,1.77,84.49,2.06,56.47,HIGH,13.25
SSO,578.71,97.92,87.79,4.48,0.55,1,0.59,46.44,91.8,148.28,512.0,82.06,29.06,8.91,0.67,88.03,0.94,87.24,MEDIUM,56.75
MEO,9800.48,55.79,60.46,1.06,0.29,2,1.85,31.63,157.33,324.29,512.0,30.93,46.23,7.6,2.65,64.83,2.38,0.0,HIGH,25.93
LEO,882.39,76.99,88.98,1.35,0.57,5,3.91,38.48,291.58,218.39,512.0,82.49,61.98,9.76,4.68,85.0,4.5,0.0,HIGH,30.67
GEO,35786.0,0.68,72.87,1.45,1.55,2,1.93,41.87,364.43,416.15,512.0,48.65,56.53,8.1,2.07,67.57,2.21,0.0,HIGH,35.46
MEO,10871.24,50.08,68.48,1.13,1.37,4,1.7,45.71,391.98,21.74,512.0,82.4,62.87,1.69,2.3,64.23,1.91,61.1,MEDIUM,60.73
GEO,35786.0,3.92,52.46,4.01,0.74,5,4.39,50.76,449.56,164.28,512.0,56.87,38.2,2.12,4.62,57.18,4.61,37.06,MEDIUM,58.36
LEO,335.95,61.0,86.77,4.21,0.23,2,1.01,55.41,97.11,433.33,512.0,42.88,38.48,8.91,1.34,83.5,1.34,59.87,LOW,97.05
LEO,456.01,30.44,57.64,3.83,1.78,1,0.87,56.7,420.09,298.6,512.0,53.79,45.36,4.19,1.56,53.37,1.4,65.54,LOW,75.68
LEO,602.39,32.48,39.27,4.11,0.97,1,0.55,30.26,280.41,29.29,512.0,15.32,40.61,9.63,1.08,39.36,0.87,34.13,MEDIUM,47.13
SSO,737.88,98.66,52.15,2.41,1.07,5,4.75,8.49,174.6,64.6,512.0,54.88,76.11,1.4,5.28,45.94,5.28,33.0,HIGH,17.12
GEO,35786.0,1.79,78.66,4.13,1.36,1,0.51,52.33,429.21,294.38,512.0,88.22,38.73,4.54,0.91,76.23,0.85,100.0,HIGH,22.67
GEO,35786.0,4.13,35.69,2.64,1.75,1,1.03,35.19,248.4,51.96,512.0,92.81,74.56,8.57,1.51,27.72,1.39,0.0,HIGH,27.37
SSO,706.77,97.4,86.42,1.42,0.45,5,3.73,55.58,179.98,341.95,512.0,45.25,49.22,1.27,3.98,90.7,4.22,68.67,LOW,86.3
